"Project URL","Project Name","Construction Status","Design Architect Firm","Engineering Firm(s)","Developer","Address","In GTA","Image URL","Short Note"
"https://urbantoronto.ca/database/projects/0-edvac-drive.59729","0 Edvac Drive","Pre-Construction","Fausto Cortese Architects","Husson Engineering + Management | dBA Acoustical Consultants Inc | Soil Engineers Ltd. | SLR Consulting Limited | Englobe","Wyndale Paving","0 Edvac Dr, Brampton, Ontario, L6S 5P2","Yes","https://cdn.skyrisecities.com/sites/default/files/images/projects/59729/59729-190514.jpg",""
"https://urbantoronto.ca/database/projects/0-humberwest-parkway.53097","0 Humberwest Parkway","Pre-Construction","","","Alpa Properties Inc","0 Humberwest Parkway, Brampton, Ontario, L6P 2X3","Yes","https://cdn.skyrisecities.com/sites/default/files/images/projects/53097/53097-159648.jpg",""
"https://urbantoronto.ca/database/projects/0-john-birchall-road.52136","0 John Birchall Road","Pre-Construction","","","TACC Construction","0 John Birchall Rd, Richmond Hill, Ontario, L4S 0B2","Yes","https://cdn.skyrisecities.com/sites/default/files/images/projects/52136/52136-165250.jpg",""
"https://urbantoronto.ca/database/projects/1-7-yonge-toronto-star-lands.29214","Pinnacle One Yonge","Under Construction","Hariri Pontarini Architects","Jablonsky, Ast and Partners | Grounded Engineering Inc. | Terraprobe Inc | R.V. Anderson Associates Ltd | Egis | RWDI Climate and Performance Engineering | Gradient Wind Engineers & Scientists","Pinnacle International","1 Yonge St, Toronto, Ontario, M5E 1E5","Yes","https://cdn.skyrisecities.com/sites/default/files/images/projects/6918/6918-178130.jpg","high priority"
"https://urbantoronto.ca/database/projects/1-adriatic.47720","1 Adriatic","Pre-Construction","Superkül","WSP | Dillon Consulting Limited | Purpose Building Inc | Gradient Wind Engineers & Scientists | Hammerschlag & Joffe Inc | CPE Structural Consultants Limited | HGC Noise Vibration Acoustics","BV Realty Partners","1 Adriatic Rd, Toronto, Ontario, M9P 3M9","Yes","https://cdn.skyrisecities.com/sites/default/files/images/projects/47720/47720-175449.jpg",""
"https://urbantoronto.ca/database/projects/1-alexandra.58141","Amica Lawrence Park","Pre-Construction","Montgomery Sisam Architects","Fabian Papa & Partners | Urban Forest Innovations Inc | Gradient Wind Engineers & Scientists | Haddad Geotechnical Inc. | WPE Engineering Limited | EVNA Services Engineering Consulting","Amdev Property | Rockport Group","19 Alexandra, Toronto, Ontario, M4N 2H7","Yes","https://cdn.skyrisecities.com/sites/default/files/images/projects/48353/48353-190599.jpg",""
"https://urbantoronto.ca/database/projects/1-broadlands-boulevard.55945","1 Broadlands Boulevard","Pre-Construction","Guthrie Muscovitch Bielny Architecture","DS Consultants Ltd | WSP | Design Works Engineering Ltd","Artlife Developments","1 Broadlands Blvd, Toronto, Ontario, M3A 1J1","Yes","https://cdn.skyrisecities.com/sites/default/files/images/projects/55945/55945-171008.jpg",""
"https://urbantoronto.ca/database/projects/1-country-lane.59637","1 Country Lane","Pre-Construction","Gold Land Architects and Engineers","LEA Consulting | Fisher Engineering Ltd","JFJ Development Inc | 95 Developments","1 Country Ln, Toronto, Ontario, M2L 1E1","Yes","https://cdn.skyrisecities.com/sites/default/files/images/projects/59637/59637-189838.jpg",""
"https://urbantoronto.ca/database/projects/1-dean-park.58610","1 Dean Park","Pre-Construction","Richmond Architects","Gradient Wind Engineers & Scientists | MNA Engineering Ltd","Medallion Corporation","1 Dean Park Rd, Toronto, Ontario, M1B 2W5","Yes","https://cdn.skyrisecities.com/sites/default/files/images/projects/58610/58610-183927.jpg",""
"https://urbantoronto.ca/database/projects/1-deauville-lane.57110","1 Deauville Lane","Pre-Construction","Arcadis","Gradient Wind Engineers & Scientists | Grounded Engineering Inc. | Fabian Papa & Partners","Stanford Homes","1 Deauville Ln, Toronto, Ontario, M3C 1Z7","Yes","https://cdn.skyrisecities.com/sites/default/files/images/projects/57110/57110-179754.jpg","high priority"
"https://urbantoronto.ca/database/projects/1-eglinton-east.14953","1 Eglinton East","Pre-Construction","Hariri Pontarini Architects","Terraprobe Inc | Schaeffers Consulting Engineers | Theakston Environmental | HGC Noise Vibration Acoustics","Davpart","1 Eglinton Ave E, Toronto, Ontario, M4P 3A1","Yes","https://cdn.skyrisecities.com/sites/default/files/images/projects/14953/14953-67842.jpeg","high priority"
"https://urbantoronto.ca/database/projects/1-eglinton-square.23081","1 Eglinton Square","Pre-Construction","BDP Quadrangle","RWDI Climate and Performance Engineering | Grounded Engineering Inc. | Aercoustics Engineering Ltd | BPA | Odan-Detech Group Inc","KingSett Capital","1 Eglinton Square, Toronto, Ontario, M1L 2K1","Yes","https://cdn.skyrisecities.com/sites/default/files/images/projects/23081/23081-167326.jpeg","high priority"
"https://urbantoronto.ca/database/projects/1-eva-road.57440","1 Eva Road","Pre-Construction","BDP Quadrangle","Schaeffers Consulting Engineers | RWDI Climate and Performance Engineering | HGC Noise Vibration Acoustics | Grounded Engineering Inc. | Gradient Wind Engineers & Scientists","Broccolini","1 Eva Rd, Toronto, Ontario, M9C 4Z5","Yes","https://cdn.skyrisecities.com/sites/default/files/images/projects/57440/57440-194789.jpg","high priority"
"https://urbantoronto.ca/database/projects/1-glen-watford.46233","1 Glen Watford","Pre-Construction","ZO1 | Z Square Group","Theakston Environmental | Valcoustics Canada Ltd. | Masongsong Associates Engineering Ltd | GeoPro Consulting Limited | P & A Urban Forestry Consulting Ltd | Trinity Consultants | RTG Systems Inc | Opresnik Engineering Consultants Inc | NovaTrend Engineering Group Ltd","W Group | WNL Builders","1 Glen Watford Dr, Toronto, Ontario, M1S 2B7","Yes","https://cdn.skyrisecities.com/sites/default/files/images/projects/46233/46233-172925.jpg",""
